1000 1247
0 512 34.4125542593132
0 853 88.08435861418765
0 311 28.547404948241795
0 940 95.1692078661956
1 958 42.734917849115135
1 532 83.6561805763
2 747 47.56037678509165
2 399 75.15340184720222
2 388 6.156475216082292
3 457 95.24004954581018
3 889 23.19799440625507
3 341 7.793218674824172
3 976 95.77127467486046
4 654 4.9855556165358905
5 704 4.0719698891905
5 914 25.481047069554823
6 98 84.08365578217521
6 488 62.512230002029625
6 965 24.61594924700168
6 777 47.88254503366667
7 618 12.32455516482135
7 72 94.82794519944854
7 225 47.03836436008685
8 541 26.368125959656474
8 683 37.5206222579712
9 841 60.98337656347082
9 574 96.40973966601966
9 114 72.11736563100482
9 74 78.00139673136783
10 114 17.212815206552715
11 427 31.792853040261384
11 696 58.289788518415115
11 965 92.95982967230503
12 25 58.003876112829
13 759 90.89458895369701
14 281 38.155388983106526
15 727 94.20558925558966
15 992 20.63464793207981
15 856 59.61768826373537
16 250 83.22659174425152
17 228 25.04208867317608
18 142 70.02210724708145
19 522 30.85668586327903
19 114 68.74164487749897
19 500 80.74726840097047
20 712 79.82649444342098
20 877 57.02732298136427
21 346 5.065843890407476
21 602 53.741779285739526
22 754 66.49061272804823
23 104 7.826716915444411
24 228 65.1067821516237
24 675 2.252562866419455
25 422 42.58581534334093
25 150 49.52996879405042
25 47 43.91881673125899
25 759 36.85661581101213
26 692 89.2659264657052
27 56 46.51419541257288
27 546 16.14612376029213
27 678 18.437559147519877
27 85 52.65292794690951
27 574 65.3952839876574
28 950 61.97532305130155
28 118 92.04214803337393
28 961 77.68950358678589
29 497 47.02250339181627
29 398 82.7477252436548
30 43 59.65498728730647
30 95 32.9081537151307
31 758 25.304021740275395
32 41 93.52756598278602
32 304 28.613896670054547
32 631 45.62939801918328
32 880 75.29715190087362
32 432 57.4151148231539
32 824 67.15065857410386
32 927 34.30326536924615
33 913 49.936343857976276
34 558 33.17640262098719
35 89 49.26744330674309
36 558 36.12767165143343
36 854 26.576888477009128
37 604 28.68619031572101
38 432 60.019345785805505
39 893 88.13062718026778
39 271 56.023311764038795
39 111 52.146097919778484
39 879 19.914585929182785
40 608 24.894248986895313
40 915 41.236384342381406
40 920 55.96244494660422
42 904 24.792069676297338
42 315 48.133217967632305
44 157 71.47239824079955
44 747 45.369280409070505
44 826 2.707082675488895
45 888 30.129322550729235
45 260 41.03571173911488
45 725 25.08721122379896
45 283 66.73204213808478
46 206 37.533024615442656
46 677 55.79382254601471
47 250 35.031982020474054
48 383 99.66651493197386
48 881 55.488458802911175
49 223 35.82924223380266
50 238 45.92078102246467
51 100 31.35567614353421
51 781 23.823266088552266
51 992 72.4071488012809
51 186 32.23924645659267
51 266 74.5452253002713
51 58 95.13687847895004
51 475 69.32619185991462
52 866 19.962556328043927
52 94 74.12186069738611
53 517 28.373463069900236
54 616 59.3691036901183
55 676 76.26058164193518
55 689 60.08228331071787
55 746 98.0705524157888
57 299 83.43020796937972
57 234 30.328399863249302
57 794 36.727225845789256
58 780 30.924491289263123
58 794 71.0938300853921
58 983 13.53171302495018
58 161 5.506054397338615
59 245 6.39807600365979
59 775 29.921527810724978
59 593 94.46487186477832
59 246 64.14909585548682
59 991 75.52642540333413
60 624 11.156177031988307
60 745 2.2142749341752888
60 168 29.149593386577788
60 646 48.392706652033404
61 574 34.729887323468944
62 690 96.58426667069118
62 778 25.995360658804287
62 765 86.3105734981238
62 412 12.29462693176753
62 555 7.469000076279316
63 425 49.68290946881573
63 211 58.12509449061099
64 203 68.95865080734565
65 400 16.020973688144686
65 613 81.30306555122971
65 219 94.96343859344509
65 424 9.432909931226774
65 394 25.5709045658015
65 230 56.24923042714522
66 733 42.20122811962251
67 274 60.0165576955925
67 216 62.223416897230045
68 665 77.79366043012351
69 234 38.657424588508384
69 803 90.94193338475658
69 691 30.43796011922135
69 609 59.26398873338919
70 547 43.45415377790216
70 190 57.294317591799086
70 846 6.962800132881544
70 900 96.05076896599562
70 778 10.824123902704034
70 902 76.51097333111616
71 202 62.92598801025371
71 885 27.199966403710736
71 441 9.037559081231446
71 971 24.746652589794547
71 721 55.64723231219815
71 990 16.496728928870674
72 633 41.44323969334264
72 526 69.24774244269213
72 724 47.521335421760895
73 262 4.231345682711504
73 623 29.52238406977524
74 839 28.989118938116487
74 786 86.10106640271172
74 466 8.046796255194447
75 102 24.10895680984253
75 550 27.190907940231064
76 718 79.33352675945119
77 714 59.389169331320524
77 114 80.58666234786195
77 967 20.584102161889952
77 453 12.362853943643529
78 558 23.25613557633636
79 450 15.749950706457591
79 730 27.29761469242338
80 177 15.081392258924051
80 539 6.904165911870858
80 87 79.47022805700875
80 387 59.90935969462107
80 969 82.59978983068092
81 213 92.19806036779617
81 875 44.476191418700004
81 296 47.401099057340026
82 520 31.10502786393191
82 553 40.84834339711776
82 141 27.95237312128205
82 871 54.45817469720338
83 816 44.3381274935882
83 429 60.20562954206926
83 634 89.0528660399529
84 429 73.71885840527591
85 658 60.76765045364515
86 674 3.560624346445209
86 290 23.66351715646087
87 749 67.75553835004494
88 225 86.19117040890984
89 459 59.125170239268556
89 604 3.053800165337836
90 603 76.71127762314585
91 284 82.32070328057998
92 828 58.04845147567193
93 381 76.54779141299885
93 773 18.34388206585929
94 104 52.37742025777279
94 649 44.780711037600085
94 389 28.537500671799666
95 728 99.69760201832378
95 982 44.15261372062331
95 838 81.61024950951973
95 992 96.93646837050466
95 343 47.531029101074814
96 662 41.42646124957152
96 99 32.78476733970058
96 194 11.355388573673185
97 890 16.921660413224714
99 144 41.75286388899158
99 674 50.05143307546944
99 367 66.59577016215145
100 661 40.64477322655198
100 563 76.28947743370804
101 777 4.633015901057161
102 576 9.717919484803069
103 223 25.987486243278564
103 389 12.476238541664829
103 887 77.48224467794097
104 139 86.62614782113603
104 754 82.6677931236014
104 344 1.1139556773631099
105 923 87.06738094774458
105 362 46.73565815323226
105 682 6.366204452296132
106 862 52.32549985361215
106 961 62.64075338756942
106 679 50.35081713583667
107 825 44.76205461650388
108 485 6.109565743448328
108 891 27.438567589020312
109 871 13.970309666094208
109 906 29.51488535384456
109 797 88.20381511842275
109 760 48.98646789804981
110 718 3.8580748017246598
110 391 63.372205423401994
111 699 80.13205959417259
111 610 71.26849968492566
111 254 31.764263700940173
112 384 2.353771982140008
112 156 41.39107804170035
113 163 23.24536528612268
114 348 84.29916248008652
114 654 12.23265067252025
114 951 94.75901349357626
115 714 65.1232591895921
116 432 16.243141318404476
117 431 93.33265293347634
117 698 29.894294465916815
118 867 70.83575136265952
118 956 42.13354395059995
118 394 48.76745811882777
118 911 47.749758408437366
118 898 46.22186080049904
118 523 15.319554880075264
119 348 19.870426723844904
120 284 60.338382268815096
121 159 74.88296200374737
122 413 14.514326114495594
122 964 7.911197881016823
123 462 77.4948381350235
123 253 85.58682561724855
124 868 34.64764906831525
124 467 78.98402317066513
125 220 27.450093643623575
126 980 1.2539606764991438
127 171 72.87904727873972
127 970 83.9101163380357
127 737 58.41241500445701
127 549 66.33413455243702
127 868 86.66079887532402
128 557 45.20819191127625
128 131 48.94979716962032
129 781 33.911555615364186
130 903 76.52439508437794
130 567 38.343795367174714
130 941 93.35237331581084
130 637 87.09056664017278
130 440 98.09668850192683
130 196 24.641748872458685
131 675 38.91411404403062
132 344 85.74528462275045
133 789 41.66673445940823
133 652 32.499456396146186
134 405 47.82464877380102
134 687 91.42958661414296
135 552 38.74188354776648
135 844 98.85298619199689
135 955 79.44697240929311
135 740 65.54988113865998
135 271 16.058426700812092
136 467 96.51761939872013
136 820 13.49838071112948
137 865 96.57000542750852
137 270 33.867475689205015
138 438 10.93609561432038
138 887 84.65890288792785
140 389 10.871458076455863
141 377 91.13372609195024
141 154 2.519412193610803
